"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[130091]","衢州市","政企商务-裕丰大厦"
"[130469]","衢州市","新世纪学校"
"[139591]","衢州市","水泥厂子弟中学"
"[10992397]","衢州市","政企商务-龙游电商城"
"[10994396]","衢州市","政企商务-国金中心"
"[10994397]","衢州市","政企商务-常山常辉大厦"
"[10994406]","衢州市","政企商务-卢森堡"
"[10994407]","衢州市","政企商务-财富中心"
"[10994410]","衢州市","政企商务-跨境电子商务园"
"[11042513]","衢州市","政企商务-凯升广场"
"[11092638]","衢州市","政企商务-国际创业园"
"[11094039]","衢州市","政企商务-广和大厦"
"[11124638]","衢州市","政企商务-金城商务大厦"
"[11124646]","衢州市","政企商务-沈家东方"
"[11147100]","衢州市","政企商务-常山县浙西世贸城"
"[11147104]","衢州市","政企商务-四季青"
"[11147252]","衢州市","政企商务-恒滔五金交电市场"
"[11408827]","衢州市","保安路1号-剑辉网吧"
"[11477345]","衢州市","地税局"
"[11486039]","衢州市","荣昌大道清水湾大酒店"
"[11494937]","衢州市","政企商务-西安路电信大楼"
"[11494938]","衢州市","电信裙楼"
"[11518633]","衢州市","-衢州市就业服务保障中心"
"[11522065]","衢州市","府东街208号-中国国检"
"[11522073]","衢州市","紫薇北路199号-白云中学（博采楼图书行政楼）"
"[11522076]","衢州市","紫薇北路199号-白云中学（博达楼科技实验楼）"
"[11522077]","衢州市","紫薇北路199号-白云中学（博文厅远程互动教室）"
"[11522079]","衢州市","紫薇北路199号-白云中学（博学楼初中部）"
"[11522081]","衢州市","紫薇北路199号-白云中学（博雅厅）"
"[11522084]","衢州市","紫薇北路199号-白云中学（博艺楼综合训练馆）"
"[11522086]","衢州市","紫薇北路199号-白云中学（存真楼）"
"[11522088]","衢州市","紫薇北路199号-白云中学（觉明楼）"
"[11522090]","衢州市","紫薇北路199号-白云中学（食堂）"
"[11522093]","衢州市","紫薇北路199号-白云中学（秀慧轩）"
"[11522095]","衢州市","紫薇北路199号-白云中学（学士居）"
"[11522097]","衢州市","紫薇北路199号-白云中学（致远楼初中部）"
"[11522099]","衢州市","紫薇北路199号-少年儿童体育运动学校(奥林匹克体育中心）"
"[11522100]","衢州市","紫薇北路199号-少年儿童体育运动学校(奥林匹克游泳中心）"
"[11522524]","衢州市","政企商务-柯城区政府"
"[11522582]","衢州市","府东街730号-中国农业发展银行衢州分行"
"[11522590]","衢州市","江滨路四喜亭码头-衢州市东方旅行社"
"[11522592]","衢州市","天宁巷9号-衢州天宁禅寺"
"[11522599]","衢州市","上街127号-友好饭店1号楼"
"[11522600]","衢州市","上街127号-友好饭店2号楼"
"[11522601]","衢州市","仁德路2号-方正实业公司"
"[11524062]","衢州市","西安路2-电信营业厅"
"[11527586]","衢州市","三衢路408幢"
"[11528086]","衢州市","亚美路255号-衢州市港行管理处主楼"
"[11528087]","衢州市","亚美路255号-衢州市港行管理处后楼"
"[11528516]","衢州市","万豪大酒店"
"[11528517]","衢州市","南湖西路5-工商所"
"[11528518]","衢州市","鹿鸣小学1#教学楼"
"[11528519]","衢州市","鹿鸣小学2#教学楼"
"[11531662]","衢州市","柯城--城北-交通中专网格"
"[11562423]","衢州市","华康路36号-西柚网咖"
"[11562424]","衢州市","华川路36号-休闲网吧"
"[11562425]","衢州市","解放街55号-利群超市"
"[11562426]","衢州市","渠东路9号-剑明希健康咨询站"
"[11562427]","衢州市","解放街51号-农业银行"
"[11562428]","衢州市","建学路4号-开化县卫生进修学校"
"[11562429]","衢州市","江东北路-城东卫生院"
"[11562430]","衢州市","古溪路11号商品房-开化县农村信用合作联室(城东分社)"
"[11562431]","衢州市","建学路15号城东中心幼儿园"
"[11562432]","衢州市","钟山路42号-南洋名都大酒店"
"[11562433]","衢州市","钟山路42号-南洋名都大酒店餐厅"
"[11562434]","衢州市","钟山路48号-开化县新世纪肉制品有限公司"
"[11562435]","衢州市","钟山路48号-开化县农产品检测中心(畜牧兽医站)"
"[11562436]","衢州市","城东-开化县农村信用合作联社(东城小区点NO:001)"
"[11562437]","衢州市","开化芹二路-开化人民法院办公楼"
"[11562438]","衢州市","开化芹二路-开化人民法院诉讼楼"
"[11562439]","衢州市","开化灵山路51号-开化交警大队"
"[11562440]","衢州市","开化凤凰南路5号-开化卫生防疫站"
"[11562441]","衢州市","岙滩-开化地税局主楼"
"[11562443]","衢州市","岙滩-开化地税局副楼"
"[11562444]","衢州市","岙滩-开化供电新大楼主楼"
"[11562445]","衢州市","岙滩-开化供电新大楼副楼"
"[11562446]","衢州市","开化县江东南路1号-国际大酒店"
"[11562447]","衢州市","芹一路-滨江圣地大酒店"
"[11562448]","衢州市","江东中路2号-开化水利局"
"[11562449]","衢州市","林场路24号-开化县实验幼儿园主楼"
"[11562450]","衢州市","林场路24号-开化县实验幼儿园副楼"
"[11562451]","衢州市","桃溪路30号-龙顶商务宾馆"
"[11562452]","衢州市","桃溪路18-新黄山宾馆"
"[11562453]","衢州市","积魁路3号-财通证券"
"[11562454]","衢州市","江滨北路24号-开化县住房公积金管理中心"
"[11562455]","衢州市","积魁路3号-浙江稠州商业银行"
"[11562456]","衢州市","解放路60号-开化县信用社中心"
"[11562457]","衢州市","解放路52号-开化县总工会"
"[11562458]","衢州市","解放路52号-开化县信访局"
"[11562459]","衢州市","解放路56号-开化县县政府办公楼"
"[11562460]","衢州市","解放路56号-开化县县政府老办公楼"
"[11562461]","衢州市","解放路56号-开化县委档案局"
"[11562462]","衢州市","解放路56号-开化县工商联、侨务办"
"[11562463]","衢州市","开化金锭坞41号-开化县宏福实业公司"
"[11562464]","衢州市","桃溪路38号-开化开阳饭店"
"[11562465]","衢州市","桃溪路38-2号-开化短途客运中心公交车总站"
"[11562466]","衢州市","桃溪路38-8号-开化百内门诊部"
"[11562467]","衢州市","开化解放街下营盘山7号-开化县气象局主楼"
"[11562468]","衢州市","开化解放街下营盘山7号-开化县气象局副楼"
"[11562469]","衢州市","花山路32号-市政园林管理处"
"[11562470]","衢州市","林场路24号-电大、进修学校"
"[11562471]","衢州市","林场路-开化实验幼儿园"
"[11562472]","衢州市","开化钟山路61-开化县林业局"
"[11562473]","衢州市","开化钟山路63号-北门幼儿园"
"[11562474]","衢州市","芹北路6号-开化信用联社"
"[11562475]","衢州市","芹北路8号-开化环保局"
"[11562476]","衢州市","林场路7号-平安宾馆"
"[11562477]","衢州市","芹南路40B-6号-小富宾馆"
"[11562478]","衢州市","芹南路40C-1号-开化人民医院城南分部"
