city,price
珑源一品,124.7
市变电所,124.7
新升,124.7
东昌村营业房至宜丰纺织厂片,124.7
新南,124.7
南山村,124.7
灵芝镇央茶湖村,124.7
稽山中学,124.7
上虞城西统包四组(待注销),124.7
雅张村,124.7
后梁村,124.7
东方银座,124.7
上英村,124.7
王泗洲村,124.7
积山村,124.7
轻纺城社区大唐支局统包一组,124.7
轻纺城社区大唐支局统包一组,124.7
风和苑,124.7
相公殿社区5统包二组,124.7
未落网格,124.7
前良村,124.7
黄山畈村,124.7
昌盛印染,124.7
唐家弄小区,124.7
天香西苑,124.7
徐芳-政企经理,124.7
皋埠镇原中心小学,124.7
瑞鑫针织,124.7
镇塘殿,124.7
金溪园,124.7
民生园,124.7
西山头村,124.7
泄峰村,124.7
世贸大厦,124.7
企石村,124.7
王晓燕-政企经理,124.7
巴厘岛假日酒店,124.7
寺西苑村,124.7
世纪之帆,124.7
戴望村,124.7
绍兴北站,124.7
长泰机械,124.7
奥体中心科技馆,124.7
双福村,124.7
谢塘村,124.7
新合村,124.7
南村东浦统包三组,124.7
梅园弄,124.7
纸板厂小区,124.7
龙珠花园,124.7
马家桥村,124.7
未落网格,124.7
世纪花城,124.7
牛皋社区,124.7
若耶商务楼,124.7
建欣汽车,124.7
丁严王联建小区,124.7
城东南别墅区,124.7
雅宅村,124.7
羊山纺机,124.7
科瑞化工,124.7
桂园新村,124.7
王劳军村,124.7
宣飞焱-客户经理,124.7
桥下村,124.7
都悦大厦,124.7
山前徐村,124.7
金通黄金海岸,124.7
南明花园,124.7
洪腾汽车,124.7
北联市场柯中统包四组,124.7
森海豪庭橡树园,124.7
鹿山广场,124.7
谢桥村,124.7
龙山公园,124.7
恒力工具,124.7
石家山,124.7
环球花园,124.7
华联商厦,124.7
润沁花园,124.7
万通轿车服务有限公司,124.7
共何新村,124.7
天圣化纤,124.7
青山村,124.7
溪二村,124.7
罗溪村,124.7
马鞍邮政局,124.7
万达广场北区,124.7
燕窠村,124.7
洋江村,124.7
状元名府,124.7
麒麟村,124.7
大屋,124.7
袜业基地,124.7
兴旺村,124.7
兰渚山村,124.7
金村,124.7
金山越府,124.7
南汇村,124.7
锦泰苑,124.7
丁港,124.7
印花新村,124.7
藏岗村,124.7
管宁西区,124.7
横街中园,124.7
移动公司,124.7
凉风洞,124.7
瑞丰学院,124.7
世贸金樽,124.7
滨海假日小区,124.7
英吉利印染,124.7
健拓五金、来福模具,124.7
新昌人民医院,124.7
廊下村,124.7
咸亨新天地,124.7
邮政储蓄银行,124.7
金色东江,124.7
宝龙工业园区,124.7
时代欣居,124.7
吉吉林苑,124.7
新娄畈小区,124.7
吴联村,124.7
五联村,124.7
相公殿社区2统包三组,124.7
红联村,124.7
人民东路南,124.7
官珏村,124.7
建设银行宿舍,124.7
北辰广场,124.7
阳明华都,124.7
嘉业广场,124.7
桥石头村,124.7
城东中小学,124.7
盐业公司,124.7
冢斜村,124.7
